passer_id,passer,posteam
00-0021379,P.Ramsey,"DEN, NYJ, WAS"
00-0022942,P.Rivers,"IND, LAC"
00-0033275,P.Walker,CAR
00-0027020,P.White,MIA
00-0035350,P.Williams,MIA
00-0020404,Q.Carter,"DAL, NYJ"
00-0020613,Q.Gray,"JAX, KC"
00-0000339,R.Anderson,"DAL, NYJ"
00-0025749,R.Bartel,ARI
00-0023437,R.Brown,MIA
00-0030288,R.Burkhead,HOU
00-0024217,R.Bush,NO
00-0021176,R.Caldwell,LAC
00-0002873,R.Chancey,LAC
00-0028002,R.Cobb,"DAL, GB, HOU"
00-0003761,R.Cunningham,"BAL, DAL, MIN"
00-0021337,R.Curry,LV
00-0021238,R.Davey,NE
00-0032943,R.Dixon,"DEN, NYG"
00-0021254,R.Fasani,CAR
00-0035652,R.Finley,CIN
00-0023682,R.Fitzpatrick,"BUF, CIN, HOU, LA, MIA, NYJ, TB, TEN, WAS"
00-0034411,R.Gage,ATL
00-0005741,R.Gannon,LV
00-0020525,R.Gardner,WAS
00-0028954,R.Golden,PIT
00-0023252,R.Gould,CHI
00-0029665,R.Griffin III,"BAL, CLE, WAS"
00-0029857,R.Griffin III,TB
00-0022121,R.Grossman,"CHI, HOU, WAS"
00-0007969,R.Huntley,CAR
00-0020984,R.Hymes,BAL
00-0008612,R.Johnson,"BUF, LV, TB, WAS"
00-0009715,R.Leaf,"DAL, LAC"
00-0019310,R.Lindell,BUF
00-0029531,R.Lindley,"ARI, IND"
00-0010072,R.Longwell,MIN
00-0010137,R.Lucas,"MIA, NYJ"
00-0028012,R.Mallett,"BAL, HOU, NE"
00-0011378,R.Mirer,"LV, NYJ, SF"
00-0011754,R.Moss,MIN
00-0030586,R.Nassib,NYG
00-0023490,R.Parrish,BUF
00-0012732,R.Peete,"CAR, WAS"
00-0013268,R.Proehl,"CAR, LA"
00-0029493,R.Quigley,"MIN, NYJ"
00-0013523,R.Reed,LAC
00-0026195,R.Rice,BAL
00-0015290,R.Smith,DEN
00-0027775,R.Smith,TEN
00-0029701,R.Tannehill,"MIA, TEN"
00-0020498,R.Wayne,IND
00-0017915,R.Williams,"MIA, NO"
00-0022909,R.Williams,DET
00-0029263,R.Wilson,SEA
00-0001218,S.Beuerlein,"CAR, DEN"
00-0001471,S.Bono,CAR
00-0027854,S.Bradford,"ARI, LA, MIN, PHI"
00-0025529,S.Breaston,ARI
00-0002787,S.Case,"BAL, DET"
00-0003557,S.Covington,"CIN, LA"
00-0034869,S.Darnold,"CAR, NYJ"
00-0031588,S.Diggs,"BUF, MIN"
00-0023074,S.Gado,GB
00-0020679,S.Hill,"DET, LA, MIN, SF"
00-0024240,S.Holmes,PIT
00-0022736,S.Jackson,LA
00-0009266,S.King,"ARI, TB"
00-0024417,S.Koch,BAL
00-0028347,S.Lanning,CLE
00-0019714,S.Lechler,"HOU, LV"
00-0026491,S.Logan,DET
