receiver_id,receiver,posteam
00-0021048,D.Anderson,ARI
00-0024465,D.Anderson,"HOU, WAS"
00-0025582,D.Anderson,DAL
00-0031392,D.Archer,PIT
00-0021406,D.Armstrong,HOU
00-0034011,D.Arnold,"ARI, CAR, JAX, NO"
00-0024447,D.Aromashodu,"CHI, IND, MIN"
00-0034301,"Darr.Williams, Dar.Williams, Da.Williams, D.Williams",KC
00-0021330,"Daryl Jones, D.Jones","CHI, NYG"
00-0036194,D.Asiasi,NE
00-0028179,D.Ausberry,LV
00-0000534,D.Autry,PHI
00-0026173,D.Avery,"IND, KC, LA, TEN"
00-0027893,"Da.Williams, D.Williams","MIA, TEN"
00-0032365,D.Ayers,PIT
00-0025614,D.Baker,PIT
00-0028434,D.Baldwin,SEA
00-0021371,D.Barnes,"BUF, DAL, MIA, TB"
00-0000869,D.Bates,"CHI, MIN"
00-0001102,D.Bennett,"KC, WAS"
00-0019976,D.Bennett,"LA, TEN"
00-0026000,D.Bess,"CLE, MIA"
00-0020985,D.Blakley,ATL
00-0020315,D.Blaylock,"KC, NYJ"
00-0035040,D.Blough,DET
00-0032972,D.Booker,"DEN, LV, NYG"
00-0001532,D.Boston,"ARI, LAC, MIA"
00-0025410,D.Bowe,"CLE, KC"
00-0035898,D.Bradwell,LAC
00-0021192,D.Branch,"NE, SEA"
00-0032801,D.Braverman,CHI
00-0020531,D.Brees,"LAC, NO"
00-0027789,D.Briscoe,"TB, WAS"
00-0001919,D.Brown,ARI
00-0020376,D.Brown,"CAR, KC"
00-0027003,D.Brown,"IND, LAC"
00-0032098,D.Brown,"BAL, CHI, NYJ"
