id,name,posteam
00-0009007,D.Kanell,"ATL, DEN"
00-0027779,D.Karim,"HOU, JAX"
00-0032896,D.Kaser,LAC
00-0026170,D.Keller,NYJ
00-0028101,D.Kilgore,MIA
00-0033899,D.Kizer,"CLE, GB"
00-0021955,D.Klecko,NE
00-0035640,"DK.Metcalf, D.Metcalf",SEA
00-0035689,D.Knox,BUF
00-0022019,D.Koppen,NE
00-0019135,D.Kreider,"LA, PIT"
00-0032804,D.Lasco,NO
00-0034726,D.Leavitt,LV
00-0025829,D.Legursky,PIT
00-0009829,D.Levens,"GB, NYG, PHI"
